origin_city_name,dest_city_name,n,distance_km,duration_min,duration_mean,duration_max,price_mean
"Paris Aéroport Orly, Île-de-France, France","Lille, Hauts-de-France, France",77,216.170126845252,2.0,2.8051948051948052,14.333333333333334,17.558441558441558
"Biganos, Nouvelle-Aquitaine, France","Paris, Île-de-France, France",76,531.9606981152314,2.6166666666666667,6.332894736842105,29.983333333333334,67.28289473684211
"Paris, Île-de-France, France","Metz, Grand-Est, France",75,281.0847431126966,2.8833333333333333,7.175111111111111,27.416666666666668,30.424000000000003
"Paris, Île-de-France, France","Rotterdam, Zuid-Holland, Nederland",75,373.3826596385304,4.0,7.573333333333333,10.833333333333334,35.245333333333335
"Paris, Île-de-France, France","Bruges Gironde, Nouvelle-Aquitaine, France",74,494.563896889116,2.5166666666666666,5.995945945945945,9.766666666666667,53.894594594594594
"Lille, Hauts-de-France, France","Bruxelles, Bruxelles-Capitale, Belgique",73,91.03913850708265,1.1666666666666667,2.8881278538812785,30.75,9.876712328767123
"Liège, Wallonie, Belgique","Berlin, Berlin, Deutschland",72,579.6907844059934,6.0,7.136574074074074,10.333333333333334,34.22222222222222
"Puteaux, Île-de-France, France","Bordeaux, Nouvelle-Aquitaine, France",72,498.4519874783578,5.5,7.421296296296297,35.333333333333336,42.048611111111114
"Lyon, Auvergne-Rhône-Alpes, France","Cannes, Provence-Alpes-Côte d'Azur, France",72,300.6970057266231,4.0,8.436342592592592,28.083333333333332,31.730555555555554
"Orléans, Centre-Val de Loire, France","Tours, Centre-Val de Loire, France",71,107.35513346544172,1.1666666666666667,2.212676056338028,29.166666666666668,10.049295774647888
"Limoges, Nouvelle-Aquitaine, France","Toulouse, Occitanie, France",71,247.59610724907375,2.8333333333333335,4.944835680751173,33.5,21.79718309859155
"Paris, Île-de-France, France","Annecy, Auvergne-Rhône-Alpes, France",71,433.9227839766893,3.6666666666666665,8.894600938967136,32.666666666666664,54.864788732394366
"Tarbes, Occitanie, France","Toulouse, Occitanie, France",70,118.7164280294389,1.5,2.1954761904761906,25.5,11.977142857142857
"Lyon, Auvergne-Rhône-Alpes, France","Biarritz, Nouvelle-Aquitaine, France",70,565.819761412312,6.5,10.87452380952381,34.766666666666666,80.32
"Narbonne, Occitanie, France","Toulouse, Occitanie, France",68,133.94691721184668,1.3333333333333333,2.329656862745098,25.416666666666668,11.804411764705883
